DEPWell experiment:, NIH 400 1a, 12 November 2019, 12:55:43

Number of Images:,50
Bands analysed:,5,to,9
Experiment analysed up to:,30 seconds

DEP-Spectrum
Freqency [Hz], Intesity, Remarks
10000 , -0.644726306603185 ,  
15473.2700358051 , -0.710104772385991 ,  
23942.2085600945 , -0.706110662295389 ,  
37046.4258303906 , -0.462510946378183 ,  
57322.935073506 , -0.224662415744503 ,  
88697.3253637283 , 0.0662241301953436 ,  
137243.766680664 , 0.959575572009815 ,  
212360.986258094 , 0.91003062576701 ,  
328591.888544139 , 1.51742029959759 , Point removed from analysis / Manually removed  Outlier  
508439.102301864 , 0.954881212465738 ,  
786721.552667908 , 1.33281913801012 ,  
1217315.50274184 , 1.49052644133822 ,  
1883585.14926964 , 1.38904961175578 ,  
2914522.16500814 , 0.97969569517508 ,  
4509718.84845104 , 1.06230592464063 ,  
6978009.7527643 , 1.77211912376807 , Point removed from analysis / Manually removed  Outlier  
10797262.9217004 , 1.47287225645966 ,  
16706896.4835056 , 1.22054709601122 ,  
25851032.0749525 , 0.77660691485614 ,  
40000000 , -0.0518714507015105 ,  

Auto-Fit Singel-Shell Modelparameters: 
Pearson Correlation Coeffcient R: 0.957771523460786
Midpoint Membrane:  , 99.8356596948346, kHz
Midpoint Cytoplasm:  , 22333.1491977033, kHz
Cell parameters: 
Cytoplasm Conductivity:  , 0.189565168141986S/m +-0.0166184698610879
Cytoplasm Permitivity:  , 40 (Fixed)
Specific Membrane Conductance:  , 1745.851028213, S/m^2 +-634.695934892621
Spcific Membrane Capacitance:  , 0.0136853691361553, F/m^2 +-0.000818689206906725
Cell Radius:  , 7.5, um (Fixed)
Medium Coductivity:  , 0.04, S/m (Fixed)
Medium Permitivity:  , 78 (Fixed)

Model Spectrum
Freqency, Intesity, Scaled to Data
10000 , -0.293459695887248 , -0.787008657784944
15473.2700358051 , -0.283357703117178 , -0.759916842853124
23942.2085600945 , -0.260127462040358 , -0.697617313799862
37046.4258303906 , -0.209443982740851 , -0.561692900415676
57322.935073506 , -0.110515366797653 , -0.296383291153718
88697.3253637283 , 0.0464871937146603 , 0.124670693939588
137243.766680664 , 0.229042748011388 , 0.614253433142914
212360.986258094 , 0.378065537749321 , 1.01390703932698
508439.102301864 , 0.513488712866563 , 1.37708880764363
786721.552667908 , 0.533590772425895 , 1.43099908947866
1217315.50274184 , 0.54143796546979 , 1.45204391761488
1883585.14926964 , 0.542726743084279 , 1.45550019851061
2914522.16500814 , 0.538440571574399 , 1.44400542040547
4509718.84845104 , 0.525420761561638 , 1.40908851922155
10797262.9217004 , 0.43104009180429 , 1.15597572292426
16706896.4835056 , 0.317341289640858 , 0.851055003191829
25851032.0749525 , 0.162080508277686 , 0.434672171546628
40000000 , 0.0119873244712721 , 0.0321479517452824
